Year,Electricity consumption,Units,CO2 emissions,Units
1990,22.347,TWh,37.132,Mt of CO2
1991,22.473,TWh,36.53,Mt of CO2
1992,21.799,TWh,40.135,Mt of CO2
1993,22.341,TWh,43.294,Mt of CO2
1994,25.725,TWh,46.166,Mt of CO2
1995,27.819,TWh,55.958,Mt of CO2
1996,30.579,TWh,60.678,Mt of CO2
1997,33.76,TWh,67.242,Mt of CO2
1998,35.747,TWh,67.736,Mt of CO2
1999,35.678,TWh,65.589,Mt of CO2
2000,38.945,TWh,66.101,Mt of CO2
2001,41.346,TWh,65.922,Mt of CO2
2002,42.497,TWh,65.053,Mt of CO2
2003,46.13,TWh,67.01,Mt of CO2
2004,48.73,TWh,68.388,Mt of CO2
2005,49.75,TWh,69.231,Mt of CO2
2006,49.898,TWh,63.565,Mt of CO2
2007,52.003,TWh,67.047,Mt of CO2
2008,53.141,TWh,68.996,Mt of CO2
2009,54.386,TWh,69.67,Mt of CO2
2010,59.942,TWh,75.195,Mt of CO2
2011,61.496,TWh,75.692,Mt of CO2
2012,64.561,TWh,78.092,Mt of CO2
2013,67.525,TWh,86.909,Mt of CO2
2014,69.807,TWh,92.501,Mt of CO2
2015,74.932,TWh,100.73,Mt of CO2
2016,82.509,TWh,110.775,Mt of CO2
2017,86.109,TWh,122.389,Mt of CO2
2018,90.758,TWh,127.405,Mt of CO2
2019,96.047,TWh,134.275,Mt of CO2
2020,92.014,TWh,123.697,Mt of CO2
2021,96.146,TWh,132.182,Mt of CO2
