Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity consumption,Units
1990,22.347,TWh
1991,22.473,TWh
1992,21.799,TWh
1993,22.341,TWh
1994,25.725,TWh
1995,27.819,TWh
1996,30.579,TWh
1997,33.76,TWh
1998,35.747,TWh
1999,35.678,TWh
2000,38.945,TWh
2001,41.346,TWh
2002,42.497,TWh
2003,46.13,TWh
2004,48.73,TWh
2005,49.75,TWh
2006,49.898,TWh
2007,52.003,TWh
2008,53.141,TWh
2009,54.386,TWh
2010,59.942,TWh
2011,61.496,TWh
2012,64.561,TWh
2013,67.525,TWh
2014,69.807,TWh
2015,74.932,TWh
2016,82.509,TWh
2017,86.109,TWh
2018,90.758,TWh
2019,96.047,TWh
2020,92.014,TWh
2021,96.146,TWh
