Source: IEA Electricity Information https://www.iea.org/data-and-statistics/data-product/electricity-information,,,,,,,,,,,,,,,,
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses,,,,,,,,,,,,,,,,
,,,,,,,,,Mix,,,,,,,
,Biofuels,Hydro,Geothermal,Solar PV,Wind,Biomass,Units,Total,BiofuelsMix,HydroMix,GeothermalMix,Solar PVMix,WindMix,BiomassMix,TotalMix,Percent
1990,431,6062,5466,,,,GWh,11959,3.60,50.69,45.71,0.00,0.00,0.00,100.00,%
1991,,5145,5758,,,,GWh,10903,0.00,47.19,52.81,0.00,0.00,0.00,100.00,%
1992,,4440,5700,,,,GWh,10140,0.00,43.79,56.21,0.00,0.00,0.00,100.00,%
1993,,5030,5667,,,,GWh,10697,0.00,47.02,52.98,0.00,0.00,0.00,100.00,%
1994,,5862,6320,,,,GWh,12182,0.00,48.12,51.88,0.00,0.00,0.00,100.00,%
1995,,6232,6135,,,,GWh,12367,0.00,50.39,49.61,0.00,0.00,0.00,100.00,%
1996,,7030,6534,,,,GWh,13564,0.00,51.83,48.17,0.00,0.00,0.00,100.00,%
1997,,6069,7237,,,,GWh,13306,0.00,45.61,54.39,0.00,0.00,0.00,100.00,%
1998,,5084,8914,,,,GWh,13998,0.00,36.32,63.68,0.00,0.00,0.00,100.00,%
1999,,7840,10594,,,,GWh,18434,0.00,42.53,57.47,0.00,0.00,0.00,100.00,%
2000,,7799,11626,,,,GWh,19425,0.00,40.15,59.85,0.00,0.00,0.00,100.00,%
2001,,7104,10442,,,,GWh,17546,0.00,40.49,59.51,0.00,0.00,0.00,100.00,%
2002,,7033,10242,,,,GWh,17275,0.00,40.71,59.29,0.00,0.00,0.00,100.00,%
2003,,7870,9822,,,,GWh,17692,0.00,44.48,55.52,0.00,0.00,0.00,100.00,%
2004,,8593,10282,,,,GWh,18875,0.00,45.53,54.47,0.00,0.00,0.00,100.00,%
2005,,8387,9902,2,17,,GWh,18308,0.00,45.81,54.09,0.01,0.09,0.00,100.00,%
2006,,9939,10465,1,53,,GWh,20458,0.00,48.58,51.15,0.00,0.26,0.00,100.00,%
2007,,8563,10215,1,58,,GWh,18837,0.00,45.46,54.23,0.01,0.31,0.00,100.00,%
2008,,9843,10723,1,61,,GWh,20628,0.00,47.72,51.98,0.00,0.30,0.00,100.00,%
2009,,9788,10324,1,64,7,GWh,20184,0.00,48.49,51.15,0.00,0.32,0.03,100.00,%
2010,13,7803,9929,1,62,7,GWh,17815,0.07,43.80,55.73,0.01,0.35,0.04,100.00,%
2011,72,9698,9942,1,88,22,GWh,19823,0.36,48.92,50.15,0.01,0.44,0.11,100.00,%
2012,146,10252,10250,1,75,18,GWh,20742,0.70,49.43,49.42,0.00,0.36,0.09,100.00,%
2013,152,10019,9605,1,66,30,GWh,19873,0.76,50.42,48.33,0.01,0.33,0.15,100.00,%
2014,130,9137,10308,17,152,33,GWh,19777,0.66,46.20,52.12,0.09,0.77,0.17,100.00,%
2015,329,8665,11044,139,748,19,GWh,20944,1.57,41.37,52.73,0.66,3.57,0.09,100.00,%
2016,708,8111,11070,1097,975,9,GWh,21970,3.22,36.92,50.39,4.99,4.44,0.04,100.00,%
2017,992,9610,10270,1201,1093,10,GWh,23176,4.28,41.47,44.31,5.18,4.72,0.04,100.00,%
2018,1083,9383,10435,1249,1152,10,GWh,23312,4.65,40.25,44.76,5.36,4.94,0.04,100.00,%
2019,1015,8025,10690,1246,1041,12,GWh,22029,4.61,36.43,48.53,5.66,4.73,0.05,100.00,%
2020,1242,7192,10756,1372,1026,9,GWh,21597,5.75,33.30,49.80,6.35,4.75,0.04,100.00,%
2021,1153,9185,10681,1469,1269,5,GWh,23762,4.85,38.65,44.95,6.18,5.34,0.02,100.00,%
