Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2 emissions,Units
1990,37.132,Mt of CO2
1991,36.53,Mt of CO2
1992,40.135,Mt of CO2
1993,43.294,Mt of CO2
1994,46.166,Mt of CO2
1995,55.958,Mt of CO2
1996,60.678,Mt of CO2
1997,67.242,Mt of CO2
1998,67.736,Mt of CO2
1999,65.589,Mt of CO2
2000,66.101,Mt of CO2
2001,65.922,Mt of CO2
2002,65.053,Mt of CO2
2003,67.01,Mt of CO2
2004,68.388,Mt of CO2
2005,69.231,Mt of CO2
2006,63.565,Mt of CO2
2007,67.047,Mt of CO2
2008,68.996,Mt of CO2
2009,69.67,Mt of CO2
2010,75.195,Mt of CO2
2011,75.692,Mt of CO2
2012,78.092,Mt of CO2
2013,86.909,Mt of CO2
2014,92.501,Mt of CO2
2015,100.73,Mt of CO2
2016,110.775,Mt of CO2
2017,122.389,Mt of CO2
2018,127.405,Mt of CO2
2019,134.275,Mt of CO2
2020,123.697,Mt of CO2
2021,132.182,Mt of CO2
